"","gen","predicted.value","std.error","status","weight","Environment"
"310","geno_11",4194.78923395143,350.635272435961,"Estimable",9.49260202936781e-06,"loc_14"
"311","geno_12",3427.32238394296,351.92280566581,"Estimable",9.53376502373251e-06,"loc_14"
"312","geno_13",3483.63431197861,352.699584283454,"Estimable",9.75976280663889e-06,"loc_14"
"313","geno_14",3394.73014585062,351.937142689225,"Estimable",9.88900423918233e-06,"loc_14"
"314","geno_15",4190.7818886649,348.656881079358,"Estimable",9.96018517493786e-06,"loc_14"
"315","geno_16",3205.08182817775,349.557952233944,"Estimable",9.9909782829896e-06,"loc_14"
"316","geno_17",3595.02736214399,347.892080378565,"Estimable",9.99097828298961e-06,"loc_14"
"317","geno_18",3241.9509998513,346.342840700935,"Estimable",9.96018517493786e-06,"loc_14"
"318","geno_19",3101.53569670034,349.183250807978,"Estimable",9.7597628066389e-06,"loc_14"
"319","geno_20",2956.61719482148,349.995407769578,"Estimable",9.88900423918232e-06,"loc_14"
"320","geno_21",3028.47783415519,347.314715761152,"Estimable",9.85181898761173e-06,"loc_14"
"321","geno_22",3445.33079981906,346.510837336718,"Estimable",9.88230738937982e-06,"loc_14"
"322","geno_23",3176.19931801103,347.847122964337,"Estimable",9.75976305379255e-06,"loc_14"
"323","geno_01",2709.91967315746,164.825607858463,"Estimable",5.46386616060117e-05,"loc_15"
"324","geno_02",2643.39936615391,165.092374060067,"Estimable",5.5239948959652e-05,"loc_15"
"325","geno_03",2763.86293151649,165.268542565343,"Estimable",5.51902683080379e-05,"loc_15"
"326","geno_04",2736.52228154425,163.578475838366,"Estimable",5.60093091575531e-05,"loc_15"
"327","geno_05",2670.00396031051,163.74997493582,"Estimable",5.59580982132988e-05,"loc_15"
"328","geno_06",2695.37106912471,163.557268631248,"Estimable",5.60095694140373e-05,"loc_15"
"329","geno_07",2798.56316569732,165.166035472957,"Estimable",5.52399517603152e-05,"loc_15"
"330","geno_08",2719.90894695652,164.90545936401,"Estimable",5.52491491949867e-05,"loc_15"
"331","geno_09",2726.49389598258,165.005321893697,"Estimable",5.52491484074407e-05,"loc_15"
"332","geno_10",2778.81974141829,163.596474573274,"Estimable",5.60070191180273e-05,"loc_15"
"333","geno_11",2708.97682800861,164.093465539612,"Estimable",5.44807353181081e-05,"loc_15"
"334","geno_12",2726.27152185184,164.939087826029,"Estimable",5.49018367492442e-05,"loc_15"
"335","geno_13",2683.78637992874,161.874477218585,"Estimable",5.43975420834522e-05,"loc_15"
"336","geno_14",2725.11232766533,163.725231195409,"Estimable",5.59187267733511e-05,"loc_15"
"337","geno_15",2782.85408092272,162.884230502792,"Estimable",5.54801922960743e-05,"loc_15"
"338","geno_16",2747.22630736094,162.303677730855,"Estimable",5.67917190661937e-05,"loc_15"
"339","geno_17",2683.84623646594,162.382793050457,"Estimable",5.56478613897631e-05,"loc_15"
"340","geno_18",2702.17128226873,161.967309241868,"Estimable",5.68117074773028e-05,"loc_15"
"341","geno_19",2786.03695994751,163.159748654316,"Estimable",5.55067145896163e-05,"loc_15"
"342","geno_20",2707.90572087473,163.455471847505,"Estimable",5.60083678228085e-05,"loc_15"
"343","geno_21",2750.80035037792,162.628681853774,"Estimable",5.54152386254516e-05,"loc_15"
"344","geno_22",2852.93259321604,162.054867966856,"Estimable",5.68276988439215e-05,"loc_15"
"345","geno_23",2657.12339606668,161.901203333193,"Estimable",5.4853142496592e-05,"loc_15"
"346","geno_01",9219.37045176424,418.641674075025,"Estimable",6.2369341174501e-06,"loc_16"
"347","geno_02",9088.98101065432,409.509372694043,"Estimable",6.61068447201074e-06,"loc_16"
"348","geno_03",10267.3098594745,402.113756335984,"Estimable",6.61068447201087e-06,"loc_16"
"349","geno_04",8066.14002893501,401.168181234252,"Estimable",6.61335836725963e-06,"loc_16"
"350","geno_05",10302.1343399013,401.070910869165,"Estimable",6.6133583625996e-06,"loc_16"
"351","geno_06",9071.23381272474,401.224451570387,"Estimable",6.61335520905821e-06,"loc_16"
"352","geno_07",10116.3346249347,400.950111639051,"Estimable",6.61068290111764e-06,"loc_16"
"353","geno_08",9575.58469073882,401.217452848125,"Estimable",6.61068447201167e-06,"loc_16"
"354","geno_09",10334.5551584644,400.79144465811,"Estimable",6.61068447201086e-06,"loc_16"
"355","geno_10",9566.56876341185,401.806828094346,"Estimable",6.61335679808592e-06,"loc_16"
"356","geno_11",9703.0789409616,402.015314844104,"Estimable",6.60870914574157e-06,"loc_16"
"357","geno_12",9547.34910488431,411.079254726127,"Estimable",6.23671528819062e-06,"loc_16"
"358","geno_13",9935.09950357032,429.932581548232,"Estimable",5.55984286279518e-06,"loc_16"
"359","geno_14",10284.3902004495,402.138865685879,"Estimable",6.61335521794762e-06,"loc_16"
"360","geno_15",10554.4378914153,411.258446846774,"Estimable",6.23804393705985e-06,"loc_16"
"361","geno_16",9238.59178292648,401.956449174113,"Estimable",6.61627402956229e-06,"loc_16"
